IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
8.210.126.88,2096,TRUE,HKG,亚太,香港,37 ms,29.7
47.243.169.90,2096,TRUE,HKG,亚太,香港,29 ms,29.41
47.243.120.239,2096,TRUE,HKG,亚太,香港,29 ms,23.44
206.238.237.150,2096,TRUE,SJC,北美洲,圣何塞,248 ms,22
45.205.0.223,2096,TRUE,SJC,北美洲,圣何塞,194 ms,21.4
206.238.237.188,2096,TRUE,SJC,北美洲,圣何塞,282 ms,21.35
47.243.169.90,2096,TRUE,HKG,亚太,香港,48 ms,20.75
206.238.236.198,2096,TRUE,SJC,北美洲,圣何塞,337 ms,20.18
45.205.0.37,2096,TRUE,SJC,北美洲,圣何塞,256 ms,19.56
206.238.236.63,2096,TRUE,SJC,北美洲,圣何塞,236 ms,19.08
206.238.236.83,2096,TRUE,SJC,北美洲,圣何塞,266 ms,19.07
103.184.45.103,2096,TRUE,SJC,北美洲,圣何塞,317 ms,18.23
206.238.237.90,2096,TRUE,SJC,北美洲,圣何塞,294 ms,18.04
206.238.237.149,2096,TRUE,SJC,北美洲,圣何塞,298 ms,17.8
206.238.236.5,2096,TRUE,SJC,北美洲,圣何塞,344 ms,17.73
8.219.123.11,2096,TRUE,SIN,亚太,新加坡,199 ms,17.51
154.218.15.28,2096,TRUE,SJC,北美洲,圣何塞,288 ms,17.48
8.219.208.104,2096,TRUE,SIN,亚太,新加坡,201 ms,17.45
45.205.0.178,2096,TRUE,SJC,北美洲,圣何塞,249 ms,16.86
8.219.110.248,2096,TRUE,SIN,亚太,新加坡,236 ms,16.81
47.236.120.9,2096,TRUE,SIN,亚太,新加坡,206 ms,16.7
47.236.6.170,2096,TRUE,SIN,亚太,新加坡,205 ms,16.57
47.236.164.65,2096,TRUE,SIN,亚太,新加坡,193 ms,16.54
47.243.120.239,2096,TRUE,HKG,亚太,香港,31 ms,16.05
154.218.15.12,2096,TRUE,SJC,北美洲,圣何塞,296 ms,15.88
45.205.0.175,2096,TRUE,SJC,北美洲,圣何塞,289 ms,15.79
45.205.0.157,2096,TRUE,SJC,北美洲,圣何塞,324 ms,15.7
206.238.236.222,2096,TRUE,SJC,北美洲,圣何塞,312 ms,15.69
47.236.169.202,2096,TRUE,SIN,亚太,新加坡,205 ms,15.52
